,symbol,open,high,low,close,last,prevclose,tottrdqty_lakhs,tottrdval_lakhs,timestamp,totaltrades,deliverypercent,deliveryvalue_lakhs,week,month,year,5days_vwap,sma_20_close,sma_50_close,sma_124_close,sma_150_close,sma_200_close,sma_9_high,ema_5_close,ema_15_close,ema_20_close,ema_50_high,ema_50_low,Bearish_crossover,Bullish_crossover,Triveni_Sangam,DMA_Convergence,Close_Below_MonthlyBB,Close_Above_MonthlyBB,Close_Below_WeeklyBB,Close_Above_WeeklyBB,ATFEMA_15C_Above_50H_and_50L,ATFEMA_15C_Below_50H_and_50L,MonthlyEMA_15C_Below_50H_and_50L,WeeklyEMA_15C_Below_50H_and_50L,DailyEMA_15C_Below_50H_and_50L,MonthlyEMA_15C_Above_50H_and_50L,WeeklyEMA_15C_Above_50H_and_50L,DailyEMA_15C_Above_50H_and_50L,MonthlyEMA_5C_Above_20C,WeeklyEMA_5C_Above_20C,DailyEMA_5C_Above_20C
16,ACC,1420.0,1440.0,1413.0,1430.65,1425.15,1399.4,6.174,8833.86,2017-01-27,22415,47.43,4190.0,4.0,1.0,2017.0,1752.6479671616307,,,,,,1369.4611111111108,1385.48022051366,1354.9595833333335,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,ACC,1428.8,1440.0,1412.0,1428.4,1428.0,1430.65,2.156,3071.2,2017-01-30,10891,26.49,814.0,5.0,1.0,2017.0,1760.156325041857,,,,,,1380.583333333333,1399.7868136757734,1364.1396354166668,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,ACC,1415.25,1434.9,1406.25,1413.5,1414.8,1428.4,1.869,2653.31,2017-01-31,8688,30.9,820.0,5.0,1.0,2017.0,1765.3569724784616,,,,,,1391.1388888888887,1404.3578757838488,1370.3096809895835,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,ACC,1416.0,1476.15,1412.5,1468.55,1470.0,1413.5,3.992,5792.95,2017-02-01,17917,41.84,2424.0,5.0,2.0,2017.0,1785.4744939832756,1359.2150000000001,,,,,1404.7333333333331,1425.7552505225658,1382.5897208658855,1359.2150000000001,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
20,ACC,1470.0,1470.0,1423.1,1431.85,1429.0,1468.55,3.058,4402.01,2017-02-02,20946,41.72,1837.0,5.0,2.0,2017.0,1803.5266891489282,1364.8375,,,,,1416.072222222222,1427.7868336817105,1388.7472557576498,1366.132619047619,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
21,ACC,1430.0,1439.35,1408.05,1423.9,1416.65,1431.85,6.46,9171.63,2017-02-03,30680,23.58,2163.0,5.0,2.0,2017.0,1800.4949043722925,1369.39,,,,,1424.333333333333,1426.4912224544737,1393.1413487879436,1371.6342743764174,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
22,ACC,1412.1,1502.75,1402.0,1480.15,1483.9,1423.9,12.768,18726.76,2017-02-06,46635,14.98,2805.0,6.0,2.0,2017.0,1783.1981284324058,1376.7025,,,,,1442.0166666666664,1444.377481636316,1404.0174301894506,1381.9691053881872,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
23,ACC,1483.7,1483.7,1445.4,1456.2,1458.1,1480.15,2.905,4234.24,2017-02-07,11780,22.99,973.0,6.0,2.0,2017.0,1779.9804384696017,1383.1200000000003,,,,,1455.5388888888888,1448.3183210908774,1410.5402514157693,1389.0387143988362,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
24,ACC,1456.9,1504.0,1456.9,1497.1,1496.35,1456.2,6.498,9687.59,2017-02-08,32105,33.69,3264.0,6.0,2.0,2017.0,1779.5963909272457,1391.9950000000003,,,,,1465.6499999999999,1464.5788807272515,1421.360219988798,1399.3302654084707,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
25,ACC,1497.15,1512.05,1477.6,1485.5,1484.0,1497.1,3.732,5580.21,2017-02-09,14505,55.51,3098.0,6.0,2.0,2017.0,1778.0949678522356,1398.8350000000003,,,,,1473.6555555555553,1471.552587151501,1429.3776924901983,1407.53690679814,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
